Order Date,Category,Region,Sales
2015-10-22,Furniture,East,93.888
2017-12-05,Technology,Central,384.45
2017-12-05,Technology,Central,149.97
2017-12-05,Furniture,Central,1951.84
2017-12-05,Office Supplies,Central,171.55
2017-03-13,Office Supplies,West,157.92
2017-03-13,Technology,West,203.184
2016-05-31,Office Supplies,West,58.38
2016-05-31,Office Supplies,West,105.52
2016-05-31,Office Supplies,West,80.88
2016-05-28,Office Supplies,West,6.63
2015-03-01,Furniture,West,457.568
2017-11-20,Office Supplies,Central,14.62
2017-11-20,Technology,Central,944.93
2017-05-11,Office Supplies,West,5.98
2016-12-28,Technology,East,54.384
2017-11-16,Office Supplies,West,28.4
2017-11-07,Office Supplies,West,27.68
2015-09-08,Office Supplies,Central,9.936
2015-09-08,Technology,Central,8159.952
2015-09-08,Office Supplies,Central,275.928
2015-09-08,Furniture,Central,1740.06
2015-09-08,Office Supplies,Central,32.064
2015-09-08,Office Supplies,Central,177.98
2015-09-08,Technology,Central,143.976
2015-08-05,Office Supplies,West,20.94
2015-08-05,Office Supplies,West,110.96
2015-08-05,Furniture,West,340.144
2015-09-14,Office Supplies,Central,52.448
2015-09-14,Office Supplies,Central,20.16
2018-04-21,Office Supplies,Central,97.264
2016-11-21,Furniture,East,396.802
2016-11-21,Office Supplies,East,15.88
2016-12-15,Office Supplies,East,3.28
2015-12-05,Office Supplies,Central,24.816
2015-12-05,Technology,Central,408.744
2015-11-19,Technology,South,503.96
2015-11-19,Technology,South,149.95
2015-11-19,Technology,South,29.0
2017-11-28,Office Supplies,East,7.16
2015-08-26,Technology,West,176.8
2017-07-16,Office Supplies,Central,37.224
2017-07-16,Office Supplies,Central,20.016
2016-10-12,Furniture,East,899.136
2016-10-12,Technology,East,71.76
2016-10-12,Office Supplies,East,51.84
2016-10-12,Furniture,East,626.352
2016-10-12,Office Supplies,East,19.9
2016-10-31,Office Supplies,West,14.28
2015-03-21,Office Supplies,East,7.408
2015-03-21,Office Supplies,East,6.048
2018-11-06,Office Supplies,East,46.26
2018-07-06,Office Supplies,East,2.946
2018-07-06,Office Supplies,East,16.056
2018-06-24,Office Supplies,East,21.744
2015-08-03,Furniture,West,218.75
2015-08-03,Office Supplies,West,2.6
2018-12-17,Office Supplies,Central,66.284
2018-06-03,Furniture,South,35.168
2018-12-09,Technology,West,444.768
2018-12-01,Office Supplies,Central,83.92
2018-12-01,Technology,Central,131.98
2018-12-01,Office Supplies,Central,15.92
2018-12-01,Office Supplies,Central,52.29
2018-12-01,Office Supplies,Central,91.99
2016-02-09,Technology,Central,20.8
2016-01-02,Office Supplies,East,23.68
2016-01-02,Furniture,East,452.45
2016-01-02,Technology,East,62.982
2016-01-02,Technology,East,1188.0
2016-01-02,Technology,East,89.584
2017-10-28,Office Supplies,West,93.06
2017-10-28,Technology,West,302.376
2016-12-24,Office Supplies,East,5.584
2016-12-24,Office Supplies,East,22.704
2016-12-24,Office Supplies,East,19.776
2016-12-24,Furniture,East,72.704
2016-12-24,Technology,East,479.988
2016-12-24,Office Supplies,East,27.168
2016-08-09,Office Supplies,Central,2.2
2016-08-09,Furniture,Central,622.45
2016-08-09,Office Supplies,Central,21.98
2016-02-28,Furniture,South,161.568
2016-02-28,Furniture,South,389.696
2015-09-13,Office Supplies,South,18.648
2018-04-07,Furniture,South,233.86
2018-04-07,Furniture,South,620.6145
2018-04-07,Office Supplies,South,5.328
2018-04-07,Furniture,South,258.072
2018-04-07,Technology,South,617.976
2018-11-12,Office Supplies,West,10.56
2017-06-04,Office Supplies,Central,25.92
2017-06-04,Furniture,Central,419.68
2017-06-04,Furniture,Central,11.688
2017-06-04,Technology,Central,31.984
2017-06-04,Furniture,Central,177.225
2017-06-04,Furniture,Central,4.044
2017-06-04,Office Supplies,Central,7.408
2015-06-01,Furniture,Central,2001.86
2015-06-01,Office Supplies,Central,166.72
2015-06-01,Office Supplies,Central,47.88
2015-06-01,Office Supplies,Central,1503.25
2015-06-01,Office Supplies,Central,25.92
2017-12-10,Furniture,West,321.568
2017-09-11,Office Supplies,West,7.61
2017-09-11,Technology,West,3347.37
2017-12-10,Office Supplies,East,80.58
2017-12-10,Office Supplies,East,361.92
2016-11-28,Furniture,Central,12.132
2016-11-28,Office Supplies,Central,82.368
2016-11-28,Office Supplies,Central,53.92
2016-11-28,Technology,Central,647.904
2018-12-01,Technology,East,20.37
2018-12-01,Office Supplies,East,221.55
2018-12-01,Office Supplies,East,17.52
2018-06-08,Office Supplies,Central,1.624
2015-09-19,Technology,Central,3059.982
2015-09-19,Technology,Central,2519.958
2017-06-06,Technology,Central,328.224
2016-11-10,Technology,West,79.9
2018-06-16,Office Supplies,South,14.016
2017-01-22,Office Supplies,East,7.56
2018-12-09,Office Supplies,East,37.208
2018-12-09,Office Supplies,East,57.576
2018-12-28,Office Supplies,West,725.84
2016-07-30,Technology,West,209.93
2016-07-30,Furniture,West,5.28
2016-07-30,Office Supplies,West,10.92
2018-09-16,Office Supplies,West,8.82
2018-09-16,Office Supplies,West,5.98
2018-10-13,Office Supplies,East,11.648
2018-10-13,Office Supplies,East,18.176
2018-10-13,Office Supplies,East,59.712
2018-10-13,Office Supplies,East,24.84
2016-09-26,Office Supplies,Central,2.08
2016-09-26,Technology,Central,1114.4
2016-11-02,Furniture,West,1038.84
2016-09-26,Office Supplies,West,141.76
2016-09-26,Technology,West,239.8
2016-09-26,Office Supplies,West,31.104
2017-12-18,Office Supplies,South,254.058
2017-12-18,Office Supplies,South,194.528
2017-12-18,Office Supplies,South,961.48
2017-11-20,Office Supplies,East,19.096
2017-11-20,Office Supplies,East,18.496
2017-11-20,Technology,East,255.984
2017-11-20,Furniture,East,86.97
2015-12-26,Furniture,West,300.416
2015-12-26,Furniture,West,230.352
2015-12-26,Furniture,West,218.352
2015-12-26,Office Supplies,West,78.6
2015-12-26,Office Supplies,West,27.552
2017-10-28,Office Supplies,East,32.4
2017-10-28,Office Supplies,East,1082.48
2017-10-28,Office Supplies,East,56.91
2017-10-28,Furniture,East,77.6
2017-10-28,Office Supplies,East,14.28
2018-11-19,Furniture,Central,219.075
2016-05-04,Furniture,East,26.8
2015-12-30,Office Supplies,Central,9.84
2015-06-01,Office Supplies,East,45.48
2015-06-01,Office Supplies,East,289.2
2018-04-15,Office Supplies,South,4.89
2017-09-12,Furniture,West,15.136
2017-09-12,Furniture,West,466.768
2017-09-12,Furniture,West,15.232
2017-09-12,Office Supplies,West,6.264
2015-09-27,Furniture,East,87.54
2015-08-09,Technology,South,178.384
2015-08-09,Office Supplies,South,15.552
2015-12-28,Office Supplies,East,99.136
2015-11-04,Furniture,East,135.882
2015-11-04,Technology,East,3991.98
2015-11-04,Technology,East,275.94
2015-11-04,Technology,East,360.0
2015-11-04,Office Supplies,East,43.57
2015-09-19,Office Supplies,West,7.16
2017-04-23,Office Supplies,West,251.52
2017-04-23,Technology,West,99.99
2018-11-03,Furniture,South,15.992
2017-08-30,Technology,East,290.898
2017-08-30,Office Supplies,East,54.224
2017-08-30,Furniture,East,786.744
2017-08-30,Office Supplies,East,100.24
2017-08-30,Office Supplies,East,37.764
2017-04-25,Technology,East,82.8
2017-04-25,Office Supplies,East,20.724
2017-04-25,Office Supplies,East,4.896
2016-09-01,Office Supplies,West,4.752
2016-09-01,Technology,West,959.984
2016-09-01,Office Supplies,West,14.368
2015-07-12,Office Supplies,West,7.712
2015-07-12,Furniture,West,698.352
2016-06-22,Office Supplies,West,4.96
2015-04-13,Office Supplies,East,17.856
2015-04-13,Office Supplies,East,509.97
2015-04-13,Office Supplies,East,30.992
2015-04-13,Technology,East,71.928
2016-12-20,Office Supplies,Central,88.8
2018-06-15,Technology,West,47.976
2018-07-08,Office Supplies,East,7.56
2018-07-08,Office Supplies,East,24.56
2018-07-08,Office Supplies,East,12.96
2017-09-01,Technology,East,6.79
2017-09-01,Office Supplies,East,24.56
2017-09-01,Office Supplies,East,3.048
2017-09-01,Office Supplies,East,49.12
2017-09-01,Office Supplies,East,4355.168
2017-04-08,Furniture,East,388.704
2017-04-08,Office Supplies,East,8.26
2017-04-08,Office Supplies,East,17.04
2017-04-08,Office Supplies,East,34.4
2017-04-23,Office Supplies,South,36.24
2018-03-08,Office Supplies,South,647.84
2018-03-08,Office Supplies,South,20.7
2018-09-25,Office Supplies,East,20.7
2018-09-25,Furniture,East,488.646
2018-09-25,Office Supplies,East,5.56
2018-09-25,Furniture,East,47.12
2015-09-24,Office Supplies,West,211.96
2017-10-21,Office Supplies,East,23.2
2017-10-21,Office Supplies,East,7.36
2017-10-21,Office Supplies,East,104.79
2017-10-21,Furniture,East,1043.92
2018-05-29,Office Supplies,Central,25.92
2018-05-29,Office Supplies,Central,53.424
2015-07-23,Office Supplies,West,8.16
2015-07-23,Technology,West,1023.936
2015-07-23,Office Supplies,West,9.24
2015-07-23,Technology,West,479.04
2017-09-28,Office Supplies,Central,99.136
2018-08-27,Furniture,East,1488.424
2016-04-28,Office Supplies,Central,8.652
2016-04-28,Office Supplies,Central,23.832
2016-04-28,Office Supplies,Central,12.176
2017-10-28,Office Supplies,West,50.96
2017-10-28,Office Supplies,West,49.536
2016-06-26,Technology,Central,41.9
2016-11-27,Furniture,South,375.4575
2016-11-27,Technology,South,83.976
2016-12-03,Technology,East,482.34
2016-12-03,Furniture,East,2.96
2015-11-24,Office Supplies,East,2.624
2018-12-11,Office Supplies,East,23.36
2018-12-11,Technology,East,39.98
2015-09-21,Technology,West,246.384
2015-09-21,Technology,West,1799.97
2015-06-07,Office Supplies,Central,12.462
2018-06-30,Office Supplies,West,75.792
2018-10-17,Office Supplies,East,49.96
2018-10-17,Office Supplies,East,12.96
2016-10-31,Office Supplies,Central,70.12
2017-09-08,Office Supplies,Central,35.952
2017-09-08,Furniture,Central,2396.2656
2017-09-08,Office Supplies,Central,131.136
2017-09-08,Technology,Central,57.584
2015-12-24,Office Supplies,South,9.568
2015-04-16,Office Supplies,South,39.072
2018-12-24,Office Supplies,East,35.91
2018-12-08,Technology,West,179.95
2018-12-08,Technology,West,1199.976
2018-12-08,Office Supplies,West,27.15
2018-12-08,Furniture,West,1004.024
2018-12-08,Office Supplies,West,9.68
2018-12-08,Office Supplies,West,28.35
2018-12-08,Office Supplies,West,55.98
2018-12-08,Furniture,West,1336.829
2018-12-08,Furniture,West,113.568
2018-11-03,Office Supplies,West,139.86
2018-11-03,Furniture,West,307.136
2018-06-24,Office Supplies,West,95.92
2017-04-14,Furniture,West,383.8
2018-11-06,Office Supplies,South,5.78
2018-03-04,Office Supplies,West,9.32
2018-03-04,Office Supplies,West,15.25
2015-06-22,Technology,West,196.752
2018-10-19,Furniture,East,56.56
2018-10-19,Office Supplies,East,32.7
2018-08-21,Furniture,South,866.4
2018-11-23,Furniture,Central,28.4
2018-11-23,Office Supplies,Central,287.92
2015-09-12,Technology,East,69.99
2018-10-01,Office Supplies,Central,6.672
2017-04-15,Office Supplies,South,189.588
2017-04-15,Technology,South,408.744
2017-04-15,Technology,South,291.96
2017-04-15,Office Supplies,South,4.768
2017-06-06,Office Supplies,East,714.3
2015-12-19,Office Supplies,South,4.812
2015-12-19,Technology,South,247.8
2017-06-12,Technology,Central,1007.979
2017-06-12,Office Supplies,Central,313.488
2018-09-15,Office Supplies,Central,31.872
2018-01-20,Furniture,East,207.846
2017-09-05,Furniture,Central,12.22
2017-09-05,Office Supplies,Central,194.94
2017-09-05,Office Supplies,Central,70.95
2017-09-05,Office Supplies,Central,91.36
2017-09-05,Furniture,Central,242.94
2017-09-05,Office Supplies,Central,22.05
2018-03-20,Furniture,Central,2.91
2017-04-01,Office Supplies,East,59.52
2017-04-01,Office Supplies,East,161.94
2017-04-01,Office Supplies,East,263.88
2017-04-01,Office Supplies,East,30.48
2017-04-01,Office Supplies,East,9.84
2017-04-01,Technology,East,35.12
2018-10-20,Furniture,East,284.364
2018-10-20,Office Supplies,East,665.408
2017-12-13,Technology,Central,63.88
2015-02-12,Furniture,West,129.568
2017-09-26,Furniture,Central,747.558
2017-09-26,Office Supplies,Central,8.928
2016-12-15,Office Supplies,West,103.92
2016-12-15,Technology,West,899.91
2016-12-15,Office Supplies,West,51.312
2017-04-22,Furniture,West,23.56
2017-04-22,Furniture,West,1272.63
2017-04-22,Office Supplies,West,28.485
2017-04-22,Office Supplies,West,185.376
2017-04-22,Office Supplies,West,78.272
2016-01-17,Furniture,Central,254.744
2018-03-31,Furniture,Central,205.3328
2017-12-16,Office Supplies,Central,4.788
2016-12-20,Office Supplies,East,55.48
2015-11-09,Office Supplies,West,340.92
2015-11-09,Furniture,West,222.666
2015-11-09,Technology,West,703.968
2015-11-09,Office Supplies,West,92.52
2015-11-09,Office Supplies,West,62.65
2015-11-09,Office Supplies,West,94.85
2017-07-12,Technology,West,95.76
2017-10-27,Furniture,East,40.2
2017-06-26,Office Supplies,East,14.7
2017-06-26,Office Supplies,East,704.25
2015-10-06,Technology,West,9.09
2015-07-22,Office Supplies,East,5.96
2015-07-22,Technology,East,159.98
2018-06-10,Office Supplies,West,29.6
2018-06-10,Furniture,West,514.165
2018-06-10,Technology,West,279.96
2015-10-29,Technology,Central,2735.952
2015-06-09,Technology,Central,7.992
2015-06-09,Technology,Central,63.984
2015-06-09,Office Supplies,Central,70.368
2015-09-14,Office Supplies,East,449.15
2015-09-14,Office Supplies,East,11.07
2017-05-09,Technology,West,93.98
2017-03-18,Furniture,South,189.882
2016-12-27,Office Supplies,South,105.42
2017-07-25,Office Supplies,West,119.616
2017-07-25,Furniture,West,255.76
2017-07-25,Furniture,West,241.568
2017-07-25,Furniture,West,69.3
2017-05-30,Office Supplies,West,22.62
2017-05-30,Office Supplies,West,14.952
2017-05-30,Furniture,West,801.568
2017-05-30,Office Supplies,West,2.376
2017-05-30,Office Supplies,West,32.792
2018-11-12,Office Supplies,East,15.92
2016-03-16,Office Supplies,South,2.74
2016-03-16,Office Supplies,South,8.34
2016-03-16,Office Supplies,South,46.74
2016-03-16,Office Supplies,South,6354.95
2018-11-26,Furniture,Central,126.3
2018-11-26,Technology,Central,38.04
2017-10-20,Office Supplies,East,7.152
2018-12-21,Office Supplies,West,6.63
2018-12-21,Office Supplies,West,5.88
2018-01-22,Technology,West,2999.95
2018-01-22,Office Supplies,West,51.45
2018-01-22,Office Supplies,West,11.96
2018-01-22,Office Supplies,West,1126.02
2016-03-22,Technology,Central,18.392
2016-03-22,Office Supplies,Central,129.568
2016-03-22,Office Supplies,Central,14.112
2018-01-23,Furniture,Central,210.98
2017-05-21,Technology,West,55.176
2017-05-21,Technology,West,66.26
2016-12-26,Office Supplies,East,22.2
2018-10-21,Furniture,South,683.952
2018-10-21,Furniture,South,45.696
2016-09-03,Office Supplies,East,36.336
2016-09-03,Office Supplies,East,666.248
2016-09-03,Office Supplies,East,52.512
2016-11-07,Furniture,West,190.72
2018-09-07,Furniture,West,47.94
2017-05-29,Technology,South,979.95
2017-05-29,Office Supplies,South,22.75
2017-07-10,Office Supplies,West,16.768
2018-09-03,Office Supplies,Central,42.616
2016-12-03,Office Supplies,East,10.752
2016-12-07,Office Supplies,South,152.94
2016-12-07,Furniture,South,283.92
2015-02-01,Technology,Central,468.9
2017-07-14,Technology,West,380.864
2016-12-18,Office Supplies,East,646.776
2015-05-11,Technology,Central,58.112
2015-05-11,Technology,Central,100.792
2015-05-11,Furniture,Central,66.112
2018-11-19,Office Supplies,East,41.28
2018-11-19,Office Supplies,East,13.36
2016-11-15,Office Supplies,Central,250.272
2016-11-15,Office Supplies,Central,11.364
2016-11-15,Office Supplies,Central,8.72
2017-04-15,Furniture,West,1121.568
2018-09-11,Furniture,South,34.504
2018-11-24,Office Supplies,Central,10.824
2018-06-29,Office Supplies,West,1295.78
2015-03-03,Office Supplies,South,19.456
2017-06-10,Office Supplies,West,20.7
2017-06-10,Furniture,West,1335.68
2017-06-10,Office Supplies,West,32.4
2018-11-20,Furniture,West,42.6
2018-11-20,Office Supplies,West,84.056
2015-09-14,Office Supplies,South,13.0
2015-09-14,Furniture,South,13.128
2016-12-07,Office Supplies,West,3.96
2016-12-07,Office Supplies,West,2.61
2018-12-07,Technology,West,374.376
2018-10-01,Office Supplies,West,91.84
2018-10-01,Office Supplies,West,81.088
2018-10-01,Office Supplies,West,19.44
2018-10-01,Furniture,West,451.152
2018-12-28,Office Supplies,East,72.45
2018-12-28,Office Supplies,East,13.96
2018-12-28,Office Supplies,East,33.264
2018-12-28,Technology,East,14.85
2017-11-03,Office Supplies,West,8.82
2016-09-18,Office Supplies,West,160.72
2016-09-18,Office Supplies,West,19.92
2016-09-18,Office Supplies,West,7.3
2018-07-20,Office Supplies,Central,69.712
2018-07-20,Furniture,Central,8.792
2016-09-10,Office Supplies,West,51.52
2018-12-01,Technology,West,470.376
2018-12-01,Technology,West,105.584
2018-12-01,Office Supplies,West,31.152
2018-12-01,Office Supplies,West,6.783
2018-12-01,Technology,West,406.368
2016-07-03,Furniture,South,70.98
2016-07-03,Office Supplies,South,294.93
2017-03-20,Technology,West,84.784
2017-03-20,Office Supplies,West,20.736
2017-03-20,Office Supplies,West,16.821
2017-03-20,Office Supplies,West,10.368
2015-01-09,Office Supplies,Central,9.344
2015-01-09,Technology,Central,31.2
2015-08-08,Office Supplies,West,76.12
2015-08-08,Technology,West,1199.976
2015-08-08,Technology,West,445.96
2015-08-08,Furniture,West,327.76
2017-07-14,Office Supplies,East,11.632
2017-07-16,Technology,East,143.982
2017-07-16,Technology,East,494.376
2017-07-16,Office Supplies,East,5.84
2015-03-15,Office Supplies,South,142.776
2015-03-15,Furniture,South,45.696
2015-03-15,Office Supplies,South,7.218
2015-03-15,Office Supplies,South,43.188
2015-03-15,Office Supplies,South,131.904
2015-05-23,Office Supplies,East,3.282
2015-05-23,Office Supplies,East,21.168
2015-05-23,Technology,East,55.188
2017-04-28,Technology,Central,369.576
2017-04-28,Office Supplies,Central,15.712
2017-09-11,Office Supplies,East,8.448
2017-09-11,Technology,East,728.946
2018-11-14,Technology,East,119.94
2018-11-14,Office Supplies,East,3.648
2018-08-18,Furniture,East,40.48
2018-08-18,Furniture,East,9.94
2018-08-18,Office Supplies,East,107.424
2018-08-18,Technology,East,37.91
2018-08-18,Furniture,East,88.02
2015-12-26,Office Supplies,Central,8.69
2016-11-29,Furniture,Central,301.96
2016-11-29,Office Supplies,Central,555.21
2016-11-29,Office Supplies,Central,523.48
2016-11-29,Office Supplies,Central,161.82
2018-09-15,Furniture,East,35.56
2018-05-19,Office Supplies,West,97.16
2018-12-17,Office Supplies,West,15.24
2018-12-17,Office Supplies,West,13.23
2017-12-11,Office Supplies,West,243.384
2017-12-11,Technology,West,119.8
2017-12-11,Technology,West,300.768
2018-09-24,Technology,South,17.88
2018-09-24,Office Supplies,South,235.944
2016-10-04,Furniture,South,392.94
2017-08-15,Office Supplies,West,18.882
2017-08-15,Office Supplies,West,122.328
2017-05-20,Furniture,West,1049.2
2017-05-20,Office Supplies,West,15.424
2017-12-18,Furniture,Central,18.84
2018-07-30,Office Supplies,West,330.4
2018-07-30,Office Supplies,West,26.25
2018-06-10,Technology,Central,132.52
2018-07-21,Office Supplies,East,6.48
2018-12-30,Office Supplies,Central,209.3
2017-04-01,Office Supplies,West,31.56
2017-04-01,Office Supplies,West,30.144
2017-12-11,Furniture,West,14.8
2017-12-11,Technology,West,302.376
2017-12-11,Technology,West,316.0
2017-10-23,Office Supplies,East,379.4
2018-06-19,Office Supplies,East,97.82
2018-06-19,Technology,East,103.12
2017-08-22,Office Supplies,East,113.552
2017-08-22,Office Supplies,East,3.318
2017-08-22,Office Supplies,East,134.288
2017-09-19,Furniture,Central,701.372
2017-09-19,Office Supplies,Central,2.308
2016-08-24,Office Supplies,Central,999.432
2016-08-24,Office Supplies,Central,724.08
2016-08-24,Furniture,Central,918.785
2016-08-24,Office Supplies,Central,2.724
2017-03-26,Office Supplies,East,459.95
2017-11-04,Office Supplies,South,10.74
2018-06-08,Office Supplies,Central,23.76
2018-06-08,Office Supplies,Central,85.056
2018-06-08,Technology,Central,381.576
2015-12-24,Furniture,East,30.36
2018-06-09,Furniture,Central,23.976
2018-06-09,Furniture,Central,108.925
2018-06-09,Office Supplies,Central,36.352
2018-06-15,Office Supplies,Central,19.56
2018-12-05,Office Supplies,Central,61.44
2018-12-05,Office Supplies,Central,38.9
2018-12-05,Technology,Central,99.39
2018-03-18,Office Supplies,Central,2.688
2018-03-18,Technology,Central,27.816
2018-03-18,Furniture,Central,82.524
2018-03-18,Office Supplies,Central,182.994
2017-11-19,Office Supplies,East,14.352
2017-11-19,Office Supplies,East,64.96
2017-11-19,Office Supplies,East,68.6
2018-11-04,Technology,South,7999.98
2018-11-04,Office Supplies,South,167.44
2015-07-05,Technology,South,479.97
2015-07-05,Office Supplies,South,14.62
2015-07-05,Office Supplies,South,19.44
2018-12-25,Furniture,East,191.984
2015-06-21,Furniture,South,104.01
2015-06-21,Technology,South,284.82
2015-06-21,Office Supplies,South,36.84
2016-03-28,Technology,West,166.24
2016-03-28,Office Supplies,West,33.4
2016-05-14,Office Supplies,East,198.272
2016-05-14,Office Supplies,East,47.36
2016-05-14,Office Supplies,East,200.984
2016-05-14,Office Supplies,East,97.696
2016-05-14,Office Supplies,East,2.696
2016-05-14,Office Supplies,East,18.588
2016-05-14,Office Supplies,East,4.896
2018-09-02,Furniture,East,15.072
2017-11-04,Furniture,West,209.88
2016-04-09,Furniture,West,369.912
2015-09-12,Office Supplies,South,10.368
2015-09-12,Office Supplies,South,166.84
2015-09-12,Technology,South,15.216
2015-12-02,Technology,East,119.96
2015-12-02,Furniture,East,883.92
2015-12-02,Office Supplies,East,46.72
2015-04-05,Office Supplies,East,55.48
2018-09-03,Office Supplies,South,24.448
2018-05-19,Office Supplies,East,281.34
2018-05-19,Technology,East,307.98
2018-05-19,Technology,East,299.97
2015-07-01,Office Supplies,West,19.92
2015-01-11,Furniture,East,9.94
2018-09-24,Furniture,East,103.056
2015-06-02,Office Supplies,West,59.808
2015-06-02,Furniture,West,73.32
2017-02-13,Office Supplies,West,146.82
2017-12-15,Furniture,Central,1652.94
2017-12-15,Office Supplies,Central,296.37
